episode,steps,reward,success,goal,collision,off_road,timeout,reason,progress_pct,goal_dist,goal_euclid,mean_dL,mean_heading,min_ttc,distance_km,coll_per_km,off_per_km,to_per_km,IS,DS,intervention_rate
1,1521,39.29,1,1,0,0,0,goal,94.504,12.987,15.000,0.089,0.016,4.603,0.2236,0.0000,0.0000,0.0000,1.0000,94.504,0.2794
2,1406,-30.38,1,1,0,0,0,goal,94.569,12.833,14.866,0.132,0.027,3.192,0.2237,0.0000,0.0000,0.0000,1.0000,94.569,0.2312
3,1089,-160.76,1,1,0,0,0,goal,94.559,12.858,14.867,0.062,0.017,3.687,0.2234,0.0000,0.0000,0.0000,1.0000,94.559,0.0459
4,1337,-47.05,1,1,0,0,0,goal,94.523,12.943,14.998,0.202,0.020,0.363,0.2237,0.0000,0.0000,0.0000,1.0000,94.523,0.2244
5,1075,-95.64,1,1,0,0,0,goal,94.597,12.767,14.818,0.220,0.021,3.151,0.2239,0.0000,0.0000,0.0000,1.0000,94.597,0.0930
6,1475,-4.15,1,1,0,0,0,goal,94.565,12.844,14.903,0.168,0.019,2.257,0.2238,0.0000,0.0000,0.0000,1.0000,94.565,0.2542
7,1508,18.78,1,1,0,0,0,goal,94.621,12.711,14.771,0.167,0.016,17.637,0.2238,0.0000,0.0000,0.0000,1.0000,94.621,0.2653
8,1474,46.81,1,1,0,0,0,goal,94.650,12.641,14.653,0.087,0.017,1.626,0.2239,0.0000,0.0000,0.0000,1.0000,94.650,0.2714
9,1370,-54.68,1,1,0,0,0,goal,94.520,12.950,14.959,0.238,0.032,1.206,0.2237,0.0000,0.0000,0.0000,1.0000,94.520,0.1825
10,1360,-55.68,1,1,0,0,0,goal,94.611,12.735,14.797,0.174,0.013,3.728,0.2234,0.0000,0.0000,0.0000,1.0000,94.611,0.2022
11,999,-97.30,1,1,0,0,0,goal,94.614,12.727,14.790,0.307,0.024,5.410,0.2241,0.0000,0.0000,0.0000,1.0000,94.614,0.0250
12,1118,-89.02,1,1,0,0,0,goal,94.543,12.895,14.952,0.216,0.015,6.815,0.2238,0.0000,0.0000,0.0000,1.0000,94.543,0.1118
13,1105,-144.73,1,1,0,0,0,goal,94.532,12.922,14.930,0.080,0.014,1.374,0.2233,0.0000,0.0000,0.0000,1.0000,94.532,0.0905
14,1053,-160.29,1,1,0,0,0,goal,94.551,12.876,14.935,0.343,0.025,4.154,0.2240,0.0000,0.0000,0.0000,1.0000,94.551,0.0475
15,1290,9.64,1,1,0,0,0,goal,94.526,12.935,14.953,0.250,0.034,2.114,0.2238,0.0000,0.0000,0.0000,1.0000,94.526,0.2132
16,1280,-62.14,1,1,0,0,0,goal,94.558,12.858,14.876,0.118,0.020,1.237,0.2235,0.0000,0.0000,0.0000,1.0000,94.558,0.1758
17,1189,-70.47,1,1,0,0,0,goal,94.556,12.864,14.917,0.221,0.024,1.281,0.2234,0.0000,0.0000,0.0000,1.0000,94.556,0.1682
18,1211,-61.61,1,1,0,0,0,goal,94.528,12.931,14.985,0.313,0.024,0.075,0.2241,0.0000,0.0000,0.0000,1.0000,94.528,0.2064
19,1019,-74.39,1,1,0,0,0,goal,94.554,12.870,14.883,0.268,0.018,5.821,0.2239,0.0000,0.0000,0.0000,1.0000,94.554,0.0491
20,1050,-127.18,1,1,0,0,0,goal,94.563,12.847,14.893,0.177,0.017,2.120,0.2237,0.0000,0.0000,0.0000,1.0000,94.563,0.0952
