episode,steps,reward,success,goal,collision,off_road,timeout,reason,progress_pct,goal_dist,goal_euclid,mean_dL,mean_heading,min_ttc,distance_km,coll_per_km,off_per_km,to_per_km,IS,DS,intervention_rate
1,449,-85.31,1,1,0,0,0,goal,93.583,12.992,14.961,0.463,0.067,3.713,0.0737,0.0000,0.0000,0.0000,1.0000,93.583,0.0000
2,1112,30.52,1,1,0,0,0,goal,93.692,12.948,14.978,0.102,0.018,0.531,0.1923,0.0000,0.0000,0.0000,1.0000,93.692,0.1574
3,1330,-135.04,1,1,0,0,0,goal,93.381,13.125,14.933,0.136,0.031,1.530,0.1858,0.0000,0.0000,0.0000,1.0000,93.381,0.0564
4,1191,-116.26,1,1,0,0,0,goal,94.028,12.911,14.919,0.049,0.009,2.586,0.2034,0.0000,0.0000,0.0000,1.0000,94.028,0.1679
5,1011,-98.88,1,1,0,0,0,goal,93.428,12.946,14.959,0.177,0.020,1.694,0.1843,0.0000,0.0000,0.0000,1.0000,93.428,0.0989
6,1092,-158.26,1,1,0,0,0,goal,93.641,12.870,14.879,0.080,0.026,3.034,0.1898,0.0000,0.0000,0.0000,1.0000,93.641,0.0458
7,473,88.74,0,0,0,0,1,stuck,15.284,173.435,78.574,0.343,0.038,9.209,0.0316,0.0000,0.0000,31.6512,0.0000,0.000,0.0529
8,1134,-189.34,1,1,0,0,0,goal,93.981,13.013,14.998,0.081,0.035,2.304,0.2036,0.0000,0.0000,0.0000,1.0000,93.981,0.0503
9,1431,44.76,1,1,0,0,0,goal,94.033,12.925,14.933,0.107,0.010,1.793,0.2041,0.0000,0.0000,0.0000,1.0000,94.033,0.1398
10,1083,-115.90,1,1,0,0,0,goal,93.497,13.139,14.849,0.076,0.020,0.558,0.1890,0.0000,0.0000,0.0000,1.0000,93.497,0.0693
11,1376,42.00,1,1,0,0,0,goal,93.633,12.718,14.770,0.100,0.014,15.955,0.1871,0.0000,0.0000,0.0000,1.0000,93.633,0.2725
12,1078,-116.66,1,1,0,0,0,goal,93.937,12.777,14.818,0.227,0.059,2.085,0.1981,0.0000,0.0000,0.0000,1.0000,93.937,0.0928
13,934,-67.78,1,1,0,0,0,goal,93.539,12.908,14.923,0.189,0.024,1.025,0.1870,0.0000,0.0000,0.0000,1.0000,93.539,0.0535
14,1833,107.12,1,1,0,0,0,goal,94.073,12.816,14.825,0.143,0.019,0.945,0.2034,0.0000,0.0000,0.0000,1.0000,94.073,0.1364
15,1351,-11.80,1,1,0,0,0,goal,93.520,12.941,14.998,0.161,0.011,1.182,0.1868,0.0000,0.0000,0.0000,1.0000,93.520,0.0740
16,1322,32.89,1,1,0,0,0,goal,93.334,13.220,14.942,0.107,0.019,1.345,0.1852,0.0000,0.0000,0.0000,1.0000,93.334,0.1135
17,1005,-143.15,1,1,0,0,0,goal,93.655,12.846,14.854,0.104,0.020,1.442,0.1896,0.0000,0.0000,0.0000,1.0000,93.655,0.0249
18,1218,-83.86,1,1,0,0,0,goal,93.969,12.711,14.757,0.162,0.012,0.626,0.1980,0.0000,0.0000,0.0000,1.0000,93.969,0.1642
19,595,-1.66,1,1,0,0,0,goal,93.636,12.885,14.847,0.111,0.017,10.717,0.0702,0.0000,0.0000,0.0000,1.0000,93.636,0.3361
20,920,-118.87,1,1,0,0,0,goal,94.051,12.862,14.871,0.171,0.017,2.334,0.2038,0.0000,0.0000,0.0000,1.0000,94.051,0.0533
