type,x,y
route,-0.04,13.18
route,-2.04,13.18
route,-4.04,13.17
route,-6.04,13.17
route,-8.04,13.16
route,-10.04,13.16
route,-12.04,13.15
route,-14.04,13.14
route,-16.04,13.14
route,-18.04,13.13
route,-20.04,13.13
route,-22.04,13.12
route,-24.04,13.12
route,-26.04,13.11
route,-28.04,13.11
route,-30.04,13.10
route,-32.04,13.09
route,-34.04,13.09
route,-36.04,13.08
route,-38.04,13.08
route,-40.04,13.07
route,-42.04,13.07
route,-44.04,13.06
route,-46.04,13.06
route,-48.04,13.05
route,-50.04,13.04
route,-52.04,13.04
route,-54.04,13.03
route,-56.04,13.03
route,-58.04,13.02
route,-60.04,13.02
route,-62.04,13.01
route,-64.04,13.01
route,-66.04,13.00
route,-68.04,12.99
route,-70.04,12.99
route,-72.04,12.98
route,-74.04,12.98
route,-76.04,12.97
route,-78.04,12.97
route,-80.04,12.96
route,-82.04,12.96
route,-84.04,12.95
route,-86.04,12.94
route,-88.04,12.94
route,-90.04,12.93
route,-92.04,12.93
route,-93.95,12.90
route,-95.75,12.72
route,-97.52,12.33
route,-99.23,11.76
route,-100.87,11.00
route,-102.42,10.07
route,-103.76,9.00
route,-104.88,7.73
route,-105.77,6.29
route,-106.38,4.72
route,-106.71,3.06
route,-106.76,1.27
route,-106.73,-0.73
route,-106.71,-2.73
route,-106.69,-4.73
route,-106.67,-6.73
route,-106.64,-8.73
route,-106.62,-10.73
route,-106.60,-12.73
route,-106.58,-14.73
route,-106.55,-16.73
route,-106.53,-18.73
route,-106.51,-20.73
route,-106.48,-22.70
route,-106.39,-24.62
route,-106.21,-26.54
route,-105.95,-28.44
route,-105.61,-30.34
route,-105.18,-32.21
route,-104.68,-34.07
route,-104.09,-35.90
route,-103.43,-37.71
route,-102.68,-39.48
route,-101.86,-41.22
route,-100.97,-42.92
route,-100.00,-44.59
route,-98.96,-46.20
route,-97.85,-47.78
route,-96.68,-49.30
route,-95.44,-50.75
route,-94.14,-52.13
route,-92.75,-53.43
route,-91.29,-54.65
route,-89.77,-55.78
route,-88.18,-56.82
route,-86.54,-57.77
route,-84.84,-58.63
route,-83.10,-59.38
route,-81.31,-60.03
route,-79.49,-60.58
route,-77.65,-61.03
route,-75.78,-61.36
route,-73.89,-61.59
route,-72.00,-61.71
route,-70.08,-61.72
route,-68.08,-61.70
route,-66.08,-61.68
route,-64.08,-61.66
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.79,13.00
ego,-66.80,13.00
ego,-66.85,13.00
ego,-66.94,13.00
ego,-67.04,13.00
ego,-67.16,13.00
ego,-67.30,13.00
ego,-67.45,13.00
ego,-67.62,13.00
ego,-67.80,13.00
ego,-67.99,13.00
ego,-68.20,12.99
ego,-68.41,12.99
ego,-68.63,12.99
ego,-68.86,12.99
ego,-69.10,12.99
ego,-69.33,13.00
ego,-69.58,13.00
ego,-69.82,13.01
ego,-70.06,13.01
ego,-70.31,13.02
ego,-70.56,13.03
ego,-70.81,13.04
ego,-71.06,13.05
ego,-71.31,13.06
ego,-71.56,13.06
ego,-71.82,13.07
ego,-72.07,13.08
ego,-72.33,13.09
ego,-72.58,13.09
ego,-72.85,13.10
ego,-73.11,13.11
ego,-73.38,13.11
ego,-73.65,13.12
ego,-73.93,13.12
ego,-74.21,13.12
ego,-74.49,13.13
ego,-74.78,13.13
ego,-75.06,13.13
ego,-75.35,13.13
ego,-75.65,13.14
ego,-75.94,13.14
ego,-76.23,13.14
ego,-76.52,13.14
ego,-76.82,13.14
ego,-77.12,13.13
ego,-77.41,13.13
ego,-77.71,13.12
ego,-78.01,13.12
ego,-78.31,13.11
ego,-78.61,13.10
ego,-78.91,13.09
ego,-79.20,13.09
ego,-79.50,13.08
ego,-79.80,13.08
ego,-80.09,13.07
ego,-80.38,13.06
ego,-80.67,13.06
ego,-80.96,13.05
ego,-81.24,13.04
ego,-81.52,13.04
ego,-81.80,13.03
ego,-82.06,13.02
ego,-82.32,13.02
ego,-82.57,13.01
ego,-82.81,13.00
ego,-83.05,13.00
ego,-83.28,12.99
ego,-83.49,13.00
ego,-83.70,13.01
ego,-83.90,13.01
ego,-84.10,13.01
ego,-84.29,13.01
ego,-84.47,13.00
ego,-84.65,12.98
ego,-84.82,12.95
ego,-84.98,12.92
ego,-85.14,12.89
ego,-85.29,12.86
ego,-85.43,12.83
ego,-85.56,12.81
ego,-85.69,12.79
ego,-85.82,12.77
ego,-85.93,12.75
ego,-86.04,12.73
ego,-86.15,12.72
ego,-86.24,12.70
ego,-86.32,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.35,12.69
ego,-86.36,12.69
ego,-86.38,12.69
ego,-86.41,12.69
ego,-86.44,12.68
ego,-86.50,12.68
ego,-86.56,12.68
ego,-86.63,12.68
ego,-86.72,12.68
ego,-86.82,12.68
ego,-86.93,12.68
ego,-87.06,12.68
ego,-87.19,12.68
ego,-87.33,12.68
ego,-87.49,12.68
ego,-87.64,12.69
ego,-87.81,12.70
ego,-87.97,12.71
ego,-88.15,12.72
ego,-88.33,12.73
ego,-88.51,12.75
ego,-88.70,12.76
ego,-88.89,12.78
ego,-89.09,12.80
ego,-89.28,12.83
ego,-89.49,12.85
ego,-89.69,12.88
ego,-89.90,12.90
ego,-90.10,12.92
ego,-90.30,12.94
ego,-90.50,12.95
ego,-90.69,12.97
ego,-90.88,13.00
ego,-91.06,13.03
ego,-91.24,13.04
ego,-91.42,13.06
ego,-91.59,13.07
ego,-91.76,13.08
ego,-91.93,13.08
ego,-92.09,13.09
ego,-92.25,13.09
ego,-92.41,13.09
ego,-92.56,13.09
ego,-92.71,13.09
ego,-92.86,13.09
ego,-93.00,13.10
ego,-93.14,13.10
ego,-93.28,13.10
ego,-93.41,13.10
ego,-93.54,13.10
ego,-93.67,13.10
ego,-93.80,13.09
ego,-93.92,13.08
ego,-94.04,13.07
ego,-94.15,13.06
ego,-94.27,13.05
ego,-94.39,13.03
ego,-94.50,13.01
ego,-94.62,12.99
ego,-94.74,12.97
ego,-94.87,12.95
ego,-95.00,12.92
ego,-95.13,12.90
ego,-95.27,12.89
ego,-95.41,12.87
ego,-95.55,12.85
ego,-95.68,12.83
ego,-95.82,12.81
ego,-95.95,12.78
ego,-96.08,12.76
ego,-96.21,12.73
ego,-96.33,12.70
ego,-96.46,12.67
ego,-96.58,12.64
ego,-96.70,12.60
ego,-96.82,12.57
ego,-96.95,12.55
ego,-97.07,12.52
ego,-97.18,12.50
ego,-97.29,12.48
ego,-97.40,12.45
ego,-97.51,12.43
ego,-97.62,12.40
ego,-97.72,12.37
ego,-97.82,12.34
ego,-97.93,12.30
ego,-98.03,12.27
ego,-98.13,12.23
ego,-98.24,12.19
ego,-98.34,12.15
ego,-98.45,12.11
ego,-98.55,12.07
ego,-98.66,12.02
ego,-98.77,11.98
ego,-98.88,11.95
ego,-98.99,11.91
ego,-99.10,11.88
ego,-99.21,11.84
ego,-99.32,11.81
ego,-99.42,11.77
ego,-99.53,11.73
ego,-99.63,11.70
ego,-99.73,11.65
ego,-99.83,11.61
ego,-99.93,11.57
ego,-100.03,11.52
ego,-100.13,11.47
ego,-100.22,11.43
ego,-100.32,11.38
ego,-100.42,11.33
ego,-100.52,11.29
ego,-100.62,11.25
ego,-100.72,11.21
ego,-100.81,11.17
ego,-100.91,11.12
ego,-101.01,11.08
ego,-101.11,11.03
ego,-101.20,10.98
ego,-101.30,10.93
ego,-101.39,10.88
ego,-101.48,10.82
ego,-101.57,10.77
ego,-101.66,10.71
ego,-101.75,10.65
ego,-101.84,10.59
ego,-101.93,10.54
ego,-102.02,10.48
ego,-102.11,10.43
ego,-102.20,10.38
ego,-102.29,10.33
ego,-102.37,10.28
ego,-102.45,10.23
ego,-102.52,10.18
ego,-102.60,10.13
ego,-102.67,10.08
ego,-102.73,10.03
ego,-102.80,9.98
ego,-102.87,9.93
ego,-102.93,9.87
ego,-103.00,9.82
ego,-103.07,9.76
ego,-103.14,9.70
ego,-103.21,9.63
ego,-103.29,9.56
ego,-103.37,9.49
ego,-103.45,9.42
ego,-103.53,9.35
ego,-103.62,9.28
ego,-103.70,9.21
ego,-103.77,9.14
ego,-103.85,9.07
ego,-103.92,9.00
ego,-103.98,8.93
ego,-104.05,8.86
ego,-104.11,8.79
ego,-104.17,8.73
ego,-104.23,8.66
ego,-104.29,8.59
ego,-104.34,8.53
ego,-104.39,8.46
ego,-104.45,8.39
ego,-104.50,8.32
ego,-104.56,8.25
ego,-104.62,8.17
ego,-104.69,8.09
ego,-104.75,8.01
ego,-104.82,7.93
ego,-104.89,7.84
ego,-104.95,7.76
ego,-105.01,7.67
ego,-105.07,7.59
ego,-105.12,7.50
ego,-105.18,7.42
ego,-105.23,7.34
ego,-105.27,7.26
ego,-105.32,7.18
ego,-105.36,7.10
ego,-105.41,7.03
ego,-105.45,6.95
ego,-105.49,6.87
ego,-105.54,6.79
ego,-105.58,6.71
ego,-105.63,6.62
ego,-105.67,6.54
ego,-105.71,6.46
ego,-105.75,6.38
ego,-105.79,6.30
ego,-105.83,6.22
ego,-105.86,6.15
ego,-105.89,6.07
ego,-105.92,5.99
ego,-105.96,5.91
ego,-105.99,5.83
ego,-106.02,5.74
ego,-106.04,5.65
ego,-106.07,5.56
ego,-106.10,5.46
ego,-106.13,5.36
ego,-106.15,5.26
ego,-106.18,5.16
ego,-106.20,5.05
ego,-106.22,4.95
ego,-106.24,4.84
ego,-106.26,4.73
ego,-106.28,4.62
ego,-106.29,4.51
ego,-106.31,4.39
ego,-106.32,4.27
